DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Qn7non6r+cr5s25zn1pr+v1+7ur+erny+j25yq+-+gcP-Q+n1q+fNc+e/;+(R 3r5vr1pr+cn3r5),W2pur1+Q233ryunzzr5B+Q21nyq+X266zn11B+gu2zn6+Uö33yr5B+Nys216+Xrz3r5,fVTZbQ+erp25q,.-**^,Database performance in the real world: TPC-D and SAP R/3,"Joachen Doppelhammer, Thomas H&#246;ppler, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1997
grz325ny+Qn7non6r+f!67rz+Vz3yrzr17n7v216,Zvpunry+UA+Oöuyr1,fVTZbQ+P21sr5r1pr,.**$,Temporal database system implementations,Michael H. B&#246;hlen,ACM SIGMOD Record ,1995
"Ntr17-b5vr17rq+62s70n5r+r1tv1rr5v1t+5r3257+21+7ur+#7u+NbfR+025x6u23+(NbfR+,__;)",cn2y2+Tv25tv1v,fVTZbQ+erp25q,",__;",Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003),Paolo Giorgini,ACM SIGMOD Record ,2003
N+g22yxv7+s25+art27vn7v21+f833257+V17r5snpr6+72+Z8y7v-Qvzr16v21ny+Qn7n,Zn77uvn6+Wn5xrB+f7r3un1+Wnp2o6B+Zvpunry+Troun5q7,fVTZbQ+erp25q,.**^,A toolkit for negotiation support interfaces to multi-dimensional data,"Michael Gebhardt, Matthias Jarke, Stephan Jacobs",International Conference on Management of Data,1997
V1p5rzr17ny+Znv17r1n1pr+2s+erp856v9r+ivr06+h6v1t+eryn7v21ny+Pnyp8y86/fdY,Wvn10r1+f8B+T82?u8+Q21t,fVTZbQ+P21sr5r1pr,",___",Incremental maintenance of recursive views using relational calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record ,2000
N+d8r5!+Yn1t8ntr+s25+n+jro-fv7r+Zn1ntrzr17+f!67rz,Qn1+f8pv8B+Qn1vryn+Sy25r6p8B+Ny21+lA+Yr9!B+Zn5!+SA+Sr51n1qr?,fVTZbQ+erp25q,.**^,A query language for a Web-site management system,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",ACM SIGMOD Record ,1997
V7r5n7v9r+63n7vny+w2v1,Un1n1+fnzr7B+Rq0v1+UA+Wnp2 ,NPZ+g5n16A+Qn7non6r+f!67A,",__;",Iterative spatial join,"Edwin H. Jacox, Hanan Samet",ACM Transactions on Database Systems (TODS) ,2003
Zv1v1t+y21t+6r48r17vny+3n77r516+v1+n+12v6!+r19v521zr17,jrv+jn1tB+cuvyv3+fA+l8B+Wv21t+ln1tB+Wvn0rv+Un1,fVTZbQ+erp25q,",__,",Mining long sequential patterns in a noisy environment,"Jiong Yang, Wei Wang, Philip S. Yu, Jiawei Han",International Conference on Management of Data,2002
er3257+21+frp21q+V17r51n7v21ny+j25x6u23+21+Nq9n1prq+V668r6+2s+R-P2zzr5pr+n1q+jro-on6rq+V1s25zn7v21+f!67rz6,cuvyv3+fA+l8B+X81-Y81t+j8,fVTZbQ+erp25q,",-___",Report on second international workshop on advanced issues of E-commerce and Web-based information systems,"Kun-Lung Wu, Philip S. Yu",ACM SIGMOD Record ,2000
R1r5t!-3r5s25zn1pr+75nqr-2ss6+s25+63n7vny+nppr66+zr7u2q6+21+zrz25!-5r6vqr17+qn7n,Znuz87+gA+Xn1qrzv5B+av1t+N1B+Zn5!+Wn1r+V50v1B+N1n1q+fv9n68o5nzn1vnzB+f8qun19n+T858z857uvB+an5n!n1n1+ivwn!x5v6u1n1,iYQO+WA,",__,", ,"Ning An, Sudhanva Gurumurthi, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut Kandemir, Mary Jane Irwin",Very Large Data Bases,2002
Vzntr+Zv1v1t+v1+VeVfM+V17rt5n7rq+er7v1ny+V1s25zn7v21+f!67rz,Xur1t+T8n1+T2uB+j!11r+U68B+Z21t-Yv+Yrr,fVTZbQ+P21sr5r1pr,",___",Image mining in IRIS: integrated retinal information system,"Wynne Hsu, Mong Li Lee, Kheng Guan Goh",International Conference on Management of Data,2000
N1+kZY-on6rq+j5n33r5+Tr1r5n725+s25+jro+V1s25zn7v21+R 75np7v21,Qn9vq+O877yr5B+jrv+gn1tB+Pny721+c8B+jrv+Un1B+Yv1t+Yv8,fVTZbQ+P21sr5r1pr,.***, ,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999
R 75np7v1t+R17v7!+c52svyr6+s52z+frzv6758p785rq+V1s25zn7v21+f3npr6,e2or57+NA+anq2B+fp277+OA+U8sszn1,fVTZbQ+P21sr5r1pr,.**^,Extracting entity profiles from semistructured information spaces,"Robert A. Nado, Scott B. Huffman",ACM SIGMOD Record ,1997
d8vpxy!+Tr1r5n7v1t+Ovyyv21-erp25q+f!17ur7vp+Qn7non6r6,f86n11r+R1tyr57B+Wvz+T5n!B+Xr11r7u+Onpyn06xvB+cr7r5+WA+jrv1or5tr5B+c5nxn6u+f81qn5r6n1,fVTZbQ+P21sr5r1pr,.**#, ,"Jim Gray, Prakash Sundaresan, Susanne Englert, Ken Baclawski, Peter J. Weinberger",International Conference on Management of Data,1994
N+fpnynoyr+n1q+Uvtuy!+N9nvynoyr+ar7025xrq+Qn7non6r+N5puv7rp785r,N1try2+c586pv12B+ensv8y+NunqB+e2tr5+Onzs25q,iYQO,.***, ,"Roger Bamford, Rafiul Ahad, Angelo Pruscino",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
c5rsr5r1pr+s25z8yn6+v1+5ryn7v21ny+48r5vr6,Wn1+Pu2zvpxv,NPZ+g5n16A+Qn7non6r+f!67A,",__;",Preference formulas in relational queries,Jan Chomicki,ACM Transactions on Database Systems (TODS) ,2003
g272B+jr'5r+a27+v1+Xn16n6+N1!z25rM+b1+g5n16v7v21v1t+s52z+er6rn5pu+72+7ur+erny+(V19v7rq+V1q8675vny+gnyx),Zvpunry+WA+Pn5r!,iYQO,",___","Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Vz3yrzr17n7v21+2s+Zntvp-6r76+v1+n+eryn7v21ny+Qn7non6r+f!67rz,V1qr53ny+fv1tu+Z8zvpxB+Unzvq+cv5nur6u,fVTZbQ+P21sr5r1pr,.**#,Implementation of magic-sets in a relational database system,"Inderpal Singh Mumick, Hamid Pirahesh",International Conference on Management of Data,1994
Zv1v1t+V1685n1pr+Qn7n+n7+f0v66+Yvsr,Wö5t-h0r+Xvr7?B+hy5vpu+ervzr5B+Zn57v1+f7n8q7,iYQO,.**^,Mining Insurance Data at Swiss Life,"J&#246;rg-Uwe Kietz, Ulrich Reimer, Martin Staudt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
R92y87v21+2s+T52830n5r+s25+O86v1r66+N33yvpn7v216M+N+Qn7non6r+cr563rp7v9r+21+Y2786+Q2zv12/a27r6,PA+Z2un1B+fA+jn776B+e21+On5or5B+Nzv7+f2zn1vB+Zn5x26+mnun5v28qnxv6,iYQO,",___",Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,"C. Mohan, Ron Barber, S. Watts, A. Somani, Markos Zaharioudakis",Very Large Data Bases,2000
P8z8yn7v9r+h3qn7r6,Orn7+jü7u5vpuB+f85!n1n5n!n1n+ZA+f5v3nqn,iYQO,.**#,Cumulative Updates,"Suryanarayana M. Sripada, Beat W&#252;thrich",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
en7v2+e8yr6M+N+ar0+cn5nqvtz+s25+Sn67B+d8n17vsvnoyr+Qn7n+Zv1v1t,ln11v6+X27vqv6B+Pu5v6726+Sny287626B+Syv3+X251B+Nyr n1q526+Yno5v1vqv6,iYQO,.**&,"Ratio Rules: A New Paradigm for Fast, Quantifiable Data Mining","Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Znv17r1n1pr+2s+Vz3yvpn7v21+V17rt5v7!+P21675nv176+h1qr5+h3qn7r6+72+P21675nv176,anpv+V6unxor!2ty8B+mA+Zr5ny+Ö?62!2ty8,iYQO+WA,.**&,Maintenance of implication integrity constraints under updates to constraints,"Naci S. Ishakbeyoglu, Z. Meral Ozsoyoglu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Tr2/R19v521zr17ny+n1q+Zrqvpny+Qn7n+Zn1ntrzr17+v1+7ur+en6QnZn1+f!67rz,a25or57+jvqzn11B+cn8yn+S857nq2B+cr7r5+On8zn11B+e2yn1q+ev76pu,iYQO,.**^, ,"Peter Baumann, Paula Furtado, Roland Ritsch, Norbert Widmann",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
N+Y2tvpny+ivr0+2s+f758p785rq+Svyr6,g29n+Zvy2B+fr5tr+Nov7ro28yB+f23uvr+Py8r7,iYQO+WA,.**&,A logical view of structured files,"Serge Abiteboul, Sophie Cluet, Tova Milo",Very Large Data Bases,1998
gur+Nyt5r6+gr67orq+2s+PUVZReNM+N1+Np7v9r+bowrp7-b5vr17rq+Qn7non6r+f!67rz,Tv86r33r+c6nvynB+f7rsn12+Pr5vB+f7rsn12+cn5no26puvB+cvr52+S5n7r51nyv,fVTZbQ+erp25q,.**$,The Algres testbed of CHIMERA: an active object-oriented database system,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",International Conference on Management of Data,1995
N1+b1yv1r+ivqr2+cynprzr17+c2yvp!+on6rq+21+On1q0v7u+72+f3npr+en7v2+(Ofe),Qv1xn5+fv7n5nzB+N6v7+Qn1,fVTZbQ+P21sr5r1pr,.**$,An online video placement policy based on bandwidth to space ratio (BSR),"Asit Dan, Dinkar Sitaram",International Conference on Management of Data,1995
N+d8r5!+Yn1t8ntr+n1q+b37vzv?n7v21+grpu1v48r6+s25+h16758p785rq+Qn7n,Tr5q+TA+Uvyyro5n1qB+cr7r5+O81rzn1B+f86n1+OA+Qn9vq621B+Qn1+f8pv8,fVTZbQ+P21sr5r1pr,.-**%,A query language and optimization techniques for unstructured data,"Peter Buneman, Susan Davidson, Gerd Hillebrand, Dan Suciu",International Conference on Management of Data,1996
O8vyqv1t+n+Yno25n725!+V1s25zn7v21+f!67rz+N5281q+n+PKK-On6rq+bowrp7-b5vr17rq+QOZf,an7un1+T22qzn1B+f7r9r+e2?r1B+Yv1p2y1+f7rv1,iYQO,.**#,Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"Nathan Goodman, Steve Rozen, Lincoln Stein",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
N1+Rssvpvr17+Zr7u2q+s25+Purpxv1t+bowrp7-b5vr17rq+Qn7non6r+fpurzn+P255rp71r66,Zvpuryr+Zv66vx2ssB+N11n+S25zvpnB+Un16+Qvr7zn5+T5ötr5,NPZ+g5n16A+Qn7non6r+f!67A,.**&,An efficient method for checking object-oriented database schema correctness,"A. Formica, H. D. Groger, M. Missikoff",ACM Transactions on Database Systems (TODS) ,1998
Z2qry-On6rq+V1s25zn7v21+V17rt5n7v21+v1+n+ar8526pvr1pr+Zrqvn725+f!67rz,Or575nz+Y8qä6pur5B+Nzn51n7u+T837nB+Zn5!n11+RA+Zn5721r,iYQO,",___",Model-Based Information Integration in a Neuroscience Mediator System,"Bertram Lud&#228;scher, Amarnath Gupta, Maryann E. Martone",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
gur+mr52+Yn7r1p!+R17r535v6r,Qn9r+Yvyr6,iYQO,",___",The Zero Latency Enterprise,Dave Liles,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Uvyor57+e-75rrM+N1+Vz3529rq+e-75rr+86v1t+S5np7ny6,Vo5nuvz+XnzryB+Pu5v6726+Sny287626,iYQO,.**#,Hilbert R-tree: An Improved R-tree using Fractals,"Ibrahim Kamel, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
e-g5rr+On6rq+V1qr v1t+2s+a20-eryn7v9r+Ov7rz325ny+Qn7n,fvz21n6+fny7r1v6B+Pu5v67vn1+fA+Wr16r1B+Tvrq5v86+fyv9v16xn6B+en6n+Oyv8w87r,iYQO,.**&,R-Tree Based Indexing of Now-Relative Bitemporal Data,"Rasa Bliujute, Christian S. Jensen, Simonas Saltenis, Giedrius Slivinskas",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Zn1ntv1t+Zrz25!+s25+erny-gvzr+d8r5vr6,Zv521+Yv91!B+Zvpunry+WA+Pn5r!B+U0rrU0n+cn1t,fVTZbQ+P21sr5r1pr,.**#,Managing memory for real-time queries,"Hwee Hwa Pang, Michael J. Carey, Miron Livny",International Conference on Management of Data,1994
frzn17vp+V17rt5n7v21+2s+frzv6758p785rq+n1q+f758p785rq+Qn7n+f285pr6,f21vn+Or5tnzn6puvB+Zn85v?v2+iv1pv1vB+fvy9n1n+Pn67n12,fVTZbQ+P21sr5r1pr,.***,Semantic integration of semistructured and structured data sources,"S. Bergamaschi, S. Castano, M. Vincini",ACM SIGMOD Record ,1999
N1+N6!z3727vpnyy!+b37vzny+Z8y7v9r56v21+O-g5rr,gu2zn6+buyr5B+cr7r5+jvqzn!r5B+O5812+Orpxr5B+f7r3un1+T6pu0v1qB+Or51un5q+frrtr5,iYQO+WA,.**%,An asymptotically optimal multiversion B-tree,"Bruno Becker, Stephan Gschwind, Thomas Ohler, Bernhard Seeger, Peter Widmayer",Very Large Data Bases,1996
S25r025q+o!+7ur+iYQO+'*&+cP+Punv5zr1M+Or67+cn3r56+2s+iYQO+'*&,bqrq+fuz8ryvB+Wr11vsr5+jvq2z,iYQO+WA,",___",Foreword by the VLDB '98 PC Chairmen,"O. Shmueli, J. Widom",Very Large Data Bases,2000
N1+Rssvpvr17+Nyt25v7uz+s25+Zv1v1t+N662pvn7v21+e8yr6+v1+Yn5tr+Qn7non6r6,Rq0n5q+bzvrpv16xvB+funzxn17+OA+an9n7urB+N6u2x+fn9n6r5r,iYQO,.**$,An Efficient Algorithm for Mining Association Rules in Large Databases,"Ashoka Savasere, Edward Omiecinski, Shamkant B. Navathe",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
Un1qyv1t+ir5!+Yn5tr+Qn7non6r6+0v7u+V1s25zv +R 7r1qrq+cn5nyyry+fr59r5,N1q5rn6+jrv1v1tr5,fVTZbQ+erp25q,",___",Handling very large databases with informix extended parallel server,Andreas Weininger,International Conference on Management of Data,2000
Nq9n1pr6+v1+Qn7non6r6+n1q+V1s25zn7v21+f!67rz6+(NQOVf),Nyor57n6+Pn3yv16xn6B+W2un11+Rqr5B+byrtn6+in6vyrpn6,fVTZbQ+erp25q,",__,",Advances in databases and information systems: report of 5th East European Conference ADBIS'2001,"Albertas Caplinskas, Johann Eder, Olegas Vasilecas",ACM SIGMOD Record ,2002
S2p86rq+P5n0yv1t+h6v1t+P217r 7+T5n3u6,S5n16+P2r7?rrB+f7r9r+Yn05r1prB+Zvpuryn1try2+Qvyvtr17vB+Zn5p2+T25vB+PA+Yrr+Tvyr6,iYQO,",___",Focused Crawling Using Context Graphs,"Michelangelo Diligenti, Frans Coetzee, Steve Lawrence, C. Lee Giles, Marco Gori",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Yr9r5ntv1t+gur+V1s25zn7v21+N66r7,Wn1r7+cr51n,fVTZbQ+P21sr5r1pr,.**$,Leveraging the information asset,Janet Perna,International Conference on Management of Data,1995
Pun1tv1t+7ur+e8yr6M+g5n16s25zn7v216+s25+e8yr-On6rq+b37vzv?r56,Zv7pu+Pur51vnpxB+f7n1yr!+OA+mq21vx,fVTZbQ+erp25q,.**&,Changing the rules: transformations for rule-based optimizers,"Mitch Cherniack, Stan Zdonik",International Conference on Management of Data,1998
er326v725vr6+n1q+bowrp7+b5vr17rq+Qn7non6r6,cuvyv3+NA+Or5167rv1,fVTZbQ+P21sr5r1pr,.**&,Repositories and object oriented databases,Philip A. Bernstein,ACM SIGMOD Record ,1998
N+fpnynoyr+N5puv7rp785r+s25+N87212z286+Ur7r52tr1r286+Qn7non6r+V17r5np7v216,N7uzn1+O28t8r77n!nB+f7r9r1+Zvyyv1r5B+Zvxr+cA+cn3n?2ty28,iYQO,.**$,A Scalable Architecture for Autonomous Heterogeneous Database Interactions,"Steven Milliner, Athman Bouguettaya, Mike P. Papazoglou",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
N872zn7n+gur25!+s25+kZY+er6rn5pur56,S5n1x+ar9r1,fVTZbQ+P21sr5r1pr,",__,",Automata theory for XML researchers,Frank Neven,ACM SIGMOD Record ,2002
f3npr-Rssvpvr17+b1yv1r+P2z387n7v21+2s+d8n17vyr+f8zzn5vr6,fn1wrr9+Xun11nB+Zvpunry+T5rr10nyq,fVTZbQ+P21sr5r1pr,",__.",Space-efficient online computation of quantile summaries,"Michael Greenwald, Sanjeev Khanna",International Conference on Management of Data,2001
frzn17vp+P2z35r66v21+n1q+cn77r51+R 75np7v21+0v7u+Sn6pvpyr6,WA+Znqn5B+en!z21q+gA+atB+UA+iA+Wntnqv6u,iYQO,.-***,Semantic Compression and Pattern Extraction with Fascicles,"H. V. Jagadish, J. Madar, Raymond T. Ng",Very Large Data Bases,1999
SrrqonpxO!3n66M+N+ar0+N3352npu+72+V17r5np7v9r+fvzvyn5v7!+d8r5!+c52pr66v1t,cn2y2+PvnppvnB+Sy25vn1+jnn6B+Vyn5vn+On572yv1v,iYQO,",__.",FeedbackBypass: A New Approach to Interactive Similarity Query Processing,"Ilaria Bartolini, Paolo Ciaccia, Florian Waas",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Rqtn5+SA+P2qqM+n+75vo87r+n1q+3r5621ny+zrz2v5,PA+WA+Qn7r,fVTZbQ+P21sr5r1pr,",__;",Edgar F. Codd: a tribute and personal memoir,C. J. Date,ACM SIGMOD Record ,2003
N+Qn7non6r+V1qr +72+Yn5tr+Ov2y2tvpny+fr48r1pr6,e2or57+jA+V59v1tB+Ryn+U817B+Znyp2yz+cA+N7xv1621,iYQO,",__.",A Database Index to Large Biological Sequences,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
V1qr +P21svt85n7v21+v1+bowrp7-b5vr17rq+Qn7non6r6,Ryv6n+Or57v12,iYQO+WA,.**#,Index configuration in object-oriented databases,Elisa Bertino,Very Large Data Bases,1994
c529vqv1t+Qn7non6r-yvxr+Nppr66+72+7ur+jro+h6v1t+d8r5vr6+On6rq+21+gr 78ny+fvzvyn5v7!,jvyyvnz+jA+P2ur1,fVTZbQ+P21sr5r1pr,.**&,Providing database-like access to the Web using queries based on textual similarity,William W. Cohen,International Conference on Management of Data,1998
bowrp7+S86v21+v1+Zrqvn725+f!67rz6,ln11v6+cn3nx2167n17v128B+Urp725+Tn5pvn-Z2yv1nB+fr5tr+Nov7ro28y,iYQO,.**%,Object Fusion in Mediator Systems,"Yannis Papakonstantinou, Serge Abiteboul, Hector Garcia-Molina",Very Large Data Bases,1996
N3352 vzn7r+fvzvyn5v7!+er75vr9ny+0v7u+Z-g5rr6,Sn8672+enov77vB+Tv86r33r+Nzn72B+cn9ry+mr?8ynB+cn648nyr+fn9v12,iYQO+WA,.**&,Approximate similarity retrieval with M-trees,"Pavel Zezula, Pasquale Savino, Giuseppe Amato, Fausto Rabitti",Very Large Data Bases,1998
N+c5rqvpn7r-on6rq+Pnpuv1t+fpurzr+s25+Pyvr17-fr59r5+Qn7non6r+N5puv7rp785r6,W8yvr+On68B+N57u85+ZA+Xryyr5,iYQO+WA,.**%, ,"Arthur M. Keller, Julie Basu",Very Large Data Bases,1996
er6rn5pu+V668r6+v1+Np7v9r+Qn7non6r+f!67rz6M+er3257+s52z+7ur+Py26v1t+cn1ry+n7+eVQR-NQf+'*#,Wr11vsr5+jvq2z,fVTZbQ+P21sr5r1pr,.**#,Research issues in active database systems: report from the closing panel at RIDE-ADS '94,Jennifer Widom,ACM SIGMOD Record ,1994
ebYRkM+eryn7v21ny+b1-Yv1r+R pun1tr+0v7u+kZY,c5nqrr3+fur12!B+kv1+Q21tB+Ur15!+SA+X257uB+cuvyv3+O2un1121B+cA+cA+fA+an5n!n1B+Pur1txnv+YvB+f8zv7+Tn1t8y!,fVTZbQ+erp25q,",__;", ,"Philip Bohannon, Xin (Luna) Dong, Sumit Ganguly, Henry F. Korth, Chengkai Li, P. P. S. Narayan, Pradeep Shenoy",International Conference on Management of Data,2003
V17rt5n7v1t+f!zo2yvp+Vzntr6+v172+n+Z8y7vzrqvn+Qn7non6r+f!67rz+h6v1t+Pyn66vsvpn7v21+n1q+No675np7v21+N3352npur6,Un1n1+fnzr7B+N!n+f2ssr5,iYQO+WA,.**&,Integrating symbolic images into a multimedia database system using classification and abstraction approaches,"Aya Soffer, Hanan Samet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
fr48r1pr+d8r5!+c52pr66v1t,entu8+enznx5v6u1n1B+Zv521+Yv91!B+c5n9rr1+fr6unq5v,fVTZbQ+erp25q,.**#,Sequence query processing,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",International Conference on Management of Data,1994
Vz3529v1t+O86v1r66+c52pr66+d8nyv7!+7u528tu+R pr37v21+h1qr567n1qv1tB+c5rqvp7v21B+n1q+c5r9r17v21,Snov2+Pn6n7vB+Qn1vryn+T5vt25vB+hzr6u0n5+Qn!nyB+Zv1t-Puvr1+fun1,iYQO,",__.","Improving Business Process Quality through Exception Understanding, Prediction, and Prevention","Daniela Grigori, Fabio Casati, Umeshwar Dayal, Ming-Chien Shan",Very Large Data Bases,2001
mbb+M+N+Qr6x723+R 3r5vzr17+Zn1ntrzr17+R19v521zr17,Zv521+Yv91!B+ln11v6+RA+V2n11vqv6B+antn9nz6v+c211rxn17vB+fuv9n1v+T837n,iYQO,.**%,ZOO: A Desktop Experiment Management Environment,"Yannis E. Ioannidis, Miron Livny, S. Gupta, Nagavamsi Ponnekanti",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
g20n5q6+n1+V1s5n6758p785r+s25+grz325ny+Qn7non6r6M+er3257+2s+n1+V19v7n7v21ny+NecN/afS+j25x6u23,enzr?+Ryzn65vB+evpun5q+gA+f12qt5n66B+Onov6+gur2q28yvqv6B+V1qr53ny+fv1tu+Z8zvpxB+N5vr+frtr9B+ZA+gnzr5+Ö?68B+hzr6u0n5+Qn!nyB+avxv+cv66v128B+On5on5n+cr51vpv,fVTZbQ+erp25q,.**#,Towards an infrastructure for temporal databases: report of an invitational ARPA/NSF workshop,"Niki Pissinou, Richard Thomas Snodgrass, Ramez Elmasri, Inderpal S. Mumick, Tamer &#214;zsu, Barbara Pernici, Arie Segev, Babis Theodoulidis, Umeshwar Dayal",ACM SIGMOD Record ,1994
frn5puv1t+s25+qr3r1qr1pvr6+n7+z8y7v3yr+no675np7v21+yr9ry6,Wrs+jvw6r1B+g221+Pnyqr56B+en!z21q+gA+at,NPZ+g5n16A+Qn7non6r+f!67A,",__,",Searching for dependencies at multiple abstraction levels,"Toon Calders, Raymond T. Ng, Jef Wijsen",ACM Transactions on Database Systems (TODS) ,2002
O8ssr5v1t+n1q+ernq-Nurnq+f75n7rtvr6+s25+R 7r51ny+Zr5tr6257,cr5-Åxr+Yn5621B+jrv!r+mun1t,iYQO,.**&,Buffering and Read-Ahead Strategies for External Mergesort,"Weiye Zhang, Per-&#197;ke Larson",Very Large Data Bases,1998
gur+QRQNYR+f!67rz+s25+P2z3yr +f3n7vny+d8r5vr6,Y8p+frt28sv1B+cuvyv33r+evtn8 B+f7é3un1r+T58zonpu,fVTZbQ+erp25q,.**&,The DEDALE system for complex spatial queries,"St&#233;phane Grumbach, Philippe Rigaux, Luc Segoufin",International Conference on Management of Data,1998
Qn7n+675rnz6M+s5r6u+p855r17+25+67nt1n17+onpx0n7r5:+(3n1ry),W26r3u+ZA+Uryyr567rv1B+Wr11vsr5+jvq2z,fVTZbQ+P21sr5r1pr,",-__,",Data streams: fresh current or stagnant backwater? (panel),"Joseph M. Hellerstein, Jennifer Widom",International Conference on Management of Data,2002
bssr5v1t+n+c5rpv6v21-cr5s25zn1pr+g5nqr2ss+s25+Ntt5rtn7v21+d8r5vr6+29r5+er3yvpn7rq+Qn7n,Wr11vsr5+jvq2zB+Pu5v6+by6721,iYQO,",___",Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,"Chris Olston, Jennifer Widom",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
Y2pn7v1t+n1q+nppr66v1t+qn7n+5r326v725vr6+0v7u+jrofrzn17vp6,Tr25tr+NA+ZvunvynB+Y28v4n+en6puvqB+N17u21!+g2zn6vp,iYQO+WA,",__,",Locating and accessing data repositories with WebSemantics,"George A. Mihaila, Louiqa Raschid, Anthony Tomasic",Very Large Data Bases,2002
Vz3529v1t+cr5s25zn1pr+v1+er3yvpn7rq+Qn7non6r6+7u528tu+eryn rq+P2ur5r1p!,env1r5+Tnyyr56qö5sr5B+Zn77uvn6+avp2yn,iYQO,.**$,Improving Performance in Replicated Databases through Relaxed Coherency,"Rainer Gallersd&#246;rfer, Matthias Nicola",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
cZ;M+N1+b57u2t21ny+cr56v67r17+f!67rz6+c52t5nzzv1t+Yn1t8ntr+-+Qr6vt1B+Vz3yrzr17n7v21B+cr5s25zn1pr,N1721!+YA+U26xv1tB+Wvn0n1+Pur1,iYQO,.***,"PM3: An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance","Antony L. Hosking, Jiawan Chen",Very Large Data Bases,1999
N+fpnynoyr+Nyt25v7uz+s25+N160r5v1t+d8r5vr6+h6v1t+ivr06,enpury+c277v1tr5B+Ny21+lA+Yr9!,iYQO,",___",A Scalable Algorithm for Answering Queries Using Views,"Rachel Pottinger, Alon Y. Levy",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
V1py8qv1t+T5283-O!+v1+d8r5!+b37vzv?n7v21,f85nwv7+Pun8qu85vB+X!86r2x+fuvz,iYQO,.**#,Including Group-By in Query Optimization,"Surajit Chaudhuri, Kyuseok Shim",Very Large Data Bases,1994
b5qr5v1t+V1s25zn7v21B+P21sr5r1pr+b5tn1v?r56B+c52t5nz+P2zzv77rr6B+Nqqv7v21ny+er9vr0r56B+Nqqv7v21ny+Qrz21675n7v216+er9vr0r56B+f3216256B+iYQO+R1q20zr17B+c5rsnprB+S25r025q,:,iYQO,",___","Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
gur+Pn6r+s25+R1un1prq+No675np7+Qn7n+g!3r6,entu8+enznx5v6u1n1B+Zv521+Yv91!B+c5n9rr1+fr6unq5v,iYQO,.**^,The Case for Enhanced Abstract Data Types,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
aNbf+-+Rssvpvr17+n1q+Z2q8yn5+ernp7v9r+Pn3novyv7vr6+v1+n1+bowrp7-b5vr17rq+Qn7non6r+f!67rz,guvr55!+P283n!rB+gA+f9r16r1B+Pu5v67v1r+P2yyr7,iYQO,.**#,NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Christine Collet, Thierry Coupaye, T. Svensen",Very Large Data Bases,1994
