DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Daytona And The Fourth-Generation Language Cymbal,Rick Greer,SIGMOD Conference,1999,Daytona and the foruth-generation language cymbal,Rick Greer,International Conference on Management of Data,1999
Data Integration and Warehousing in Telecom Italia,"Daniele Nardi, Maurizio Lenzerini, Stefano Trisolini",SIGMOD Conference,1999,Data integration and warehousing in Telecom Italia,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data,1999
An XML-based Wrapper Generator for Web Information Extraction,"David Buttler, Wei Tang, Calton Pu, Wei Han, Ling Liu",SIGMOD Conference,1999,An XJML-based wrapper generator for Web information extraction,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999
DBIS-Toolkit: Adaptable Middleware for Large Scale Data Delivery,"Demet Aksoy, Mehmet Altinel, Stanley B. Zdonik, Thomas Baby, William Shapiro, Michael J. Franklin",SIGMOD Conference,1999,DBIS-toolkit: adaptable middleware for large scale data delivery,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",International Conference on Management of Data,1999
DOMINO: Databases fOr MovINg Objects tracking,"Jutai Zhou, Ouri Wolfson, Sam Chamberlain, A. Prasad Sistla, Bo Xu",SIGMOD Conference,1999,DOMINO: databases fOr MovINg Objects tracking,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data,1999
Database Patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",SIGMOD Conference,1999,Database patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1999
Evolvable View Environment (EVE): Non-Equivalent View Maintenance under Schema Changes,"Andreas Koeller, Amy J. Lee, Xin Zhang, Anisoara Nica, Elke A. Rundensteiner, Amber van Wyk, Yong Li",SIGMOD Conference,1999,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,1999
Exploratory Mining via Constrained Frequent Set Queries,"Jiawei Han, Teresa Mah, Laks V. S. Lakshmanan, Raymond T. Ng",SIGMOD Conference,1999,Exploratory mining via constrained frequent set queries,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",International Conference on Management of Data,1999
A User-Centered Interface for Querying Distributed Multimedia Databases,"Kimberly M. James, Isabel F. Cruz",SIGMOD Conference,1999,A user-centered interface for querying distributed multimedia databases,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data,1999
Integration of Spatial Join Algorithms for Processing Multiple Inputs,"Nikos Mamoulis, Dimitris Papadias",SIGMOD Conference,1999,Integration of spatial join algorithms for processing multiple inputs,"Nikos Mamoulis, Dimitris Papadias",International Conference on Management of Data,1999
Selectivity Estimation in Spatial Databases,"Viswanath Poosala, Sridhar Ramaswamy, Swarup Acharya",SIGMOD Conference,1999,Selectivity estimation in spatial databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
Snakes and Sandwiches: Optimal Clustering Strategies for a Data Warehouse,"Laks V. S. Lakshmanan, Divesh Srivastava, H. V. Jagadish",SIGMOD Conference,1999,Snakes and sandwiches: optimal clustering strategies for a data warehouse,"H. V. Jagadish, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data,1999
OPTICS: Ordering Points To Identify the Clustering Structure,"Jörg Sander, Hans-Peter Kriegel, Markus M. Breunig, Mihael Ankerst",SIGMOD Conference,1999,OPTICS: ordering points to identify the clustering structure,"Mihael Ankerst, Markus M. Breunig, Hans-Peter Kriegel, J&#246;rg Sander",International Conference on Management of Data,1999
Logical Logging to Extend Recovery to New Domains,"David B. Lomet, Mark R. Tuttle",SIGMOD Conference,1999,Logical logging to extend recovery to new domains,"David Lomet, Mark Tuttle",International Conference on Management of Data,1999
Update Propagation Protocols For Replicated Databases,"Raghavan Komondoor, Abraham Silberschatz, Yuri Breitbart, S. Seshadri, Rajeev Rastogi",SIGMOD Conference,1999,Update propagation protocols for replicated databates,"Yuri Breitbart, Raghavan Komondoor, Rajeev Rastogi, S. Seshadri, Avi Silberschatz",International Conference on Management of Data,1999
Querying Network Directories,"Dimitra Vista, H. V. Jagadish, Divesh Srivastava, Tova Milo, Laks V. S. Lakshmanan",SIGMOD Conference,1999,Querying network directories,"H. V. Jagadish, Laks V. S. Lakshmanan, Tova Milo, Divesh Srivastava, Dimitra Vista",International Conference on Management of Data,1999
Online Association Rule Mining,Christian Hidber,SIGMOD Conference,1999,Online association rule mining,Christian Hidber,International Conference on Management of Data,1999
Optimization of Constrained Frequent Set Queries with 2-variable Constraints,"Laks V. S. Lakshmanan, Alex Pang, Raymond T. Ng, Jiawei Han",SIGMOD Conference,1999,Optimization of constrained frequent set queries with 2-variable constraints,"Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang",International Conference on Management of Data,1999
Self-tuning Histograms: Building Histograms Without Looking at Data,"Surajit Chaudhuri, Ashraf Aboulnaga",SIGMOD Conference,1999,Self-tuning histograms: building histograms without looking at data,"Ashraf Aboulnaga, Surajit Chaudhuri",International Conference on Management of Data,1999
Multi-dimensional Selectivity Estimation Using Compressed Histogram Information,"Deok-Hwan Kim, Ju-Hong Lee, Chin-Wan Chung",SIGMOD Conference,1999,Multi-dimensional selectivity estimation using compressed histogram information,"Ju-Hong Lee, Deok-Hwan Kim, Chin-Wan Chung",International Conference on Management of Data,1999
Query Optimization for Selections Using Bitmaps,Ming-Chuan Wu,SIGMOD Conference,1999,Query optimization for selections using bitmaps,Ming-Chuan Wu,International Conference on Management of Data,1999
Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,"Sridhar Rajagopalan, Bruce G. Lindsay, Gurmeet Singh Manku",SIGMOD Conference,1999,Random sampling techniques for space efficient online computation of order statistics of large datasets,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,1999
On Random Sampling over Joins,"Vivek R. Narasayya, Surajit Chaudhuri, Rajeev Motwani",SIGMOD Conference,1999,On random sampling over joins,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data,1999
Join Synopses for Approximate Query Answering,"Swarup Acharya, Viswanath Poosala, Phillip B. Gibbons, Sridhar Ramaswamy",SIGMOD Conference,1999,Join synopses for approximate query answering,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
Ripple Joins for Online Aggregation,"Peter J. Haas, Joseph M. Hellerstein",SIGMOD Conference,1999,Ripple joins for online aggregation,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data,1999
Query Optimization in the Presence of Limited Access Patterns,"Dan Suciu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",SIGMOD Conference,1999,Query optimization in the presence of limited access patterns,"Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu",International Conference on Management of Data,1999
Query Processing Techniques for Arrays,"Kenneth Salem, Arunprasad P. Marathe",SIGMOD Conference,1999,Query processing techniques for arrays,"Arunprasad P. Marathe, Kenneth Salem",International Conference on Management of Data,1999
Mind Your Vocabulary: Query Mapping Across Heterogeneous Information Sources,"Kevin Chen-Chuan Chang, Hector Garcia-Molina",SIGMOD Conference,1999,Mind your vocabulary: query mapping across heterogeneous information sources,"Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina",International Conference on Management of Data,1999
Shrinking the Warehouse Update Window,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio",SIGMOD Conference,1999,Shrinking the warehouse update Window,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",International Conference on Management of Data,1999
WALRUS: A Similarity Retrieval Algorithm for Image Databases,"Rajeev Rastogi, Kyuseok Shim, Apostol Natsev",SIGMOD Conference,1999,WALRUS: a similarity retrieval algorithm for image databases,"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999
Storing Semistructured Data with STORED,"Alin Deutsch, Mary F. Fernandez, Dan Suciu",SIGMOD Conference,1999,Storing semistructured data with STORED,"Alin Deutsch, Mary Fernandez, Dan Suciu",International Conference on Management of Data,1999
Query Rewriting for Semistructured Data,"Vasilis Vassalos, Yannis Papakonstantinou",SIGMOD Conference,1999,Query rewriting for semistructured data,"Yannis Papakonstantinou, Vasilis Vassalos",International Conference on Management of Data,1999
Record-Boundary Discovery in Web Documents,"Yiu-Kai Ng, Y. S. Jiang, David W. Embley",SIGMOD Conference,1999,Record-boundary discovery in Web documents,"D. W. Embley, Y. Jiang, Y.-K. Ng",International Conference on Management of Data,1999
"Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)","Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy",SIGMOD Conference,1999,"Of crawlers, portals, mice, and men: is there more to mining the Web?","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999
Petabyte Databases,Dirk Düllmann,SIGMOD Conference,1999,Petabyte databases,Dirk D&#252;llmann,International Conference on Management of Data,1999
Hypertext Databases and Data Mining,Soumen Chakrabarti,SIGMOD Conference,1999,Hypertext databases and data mining,Soumen Chakrabarti,International Conference on Management of Data,1999
Managing Web Data,Dan Suciu,SIGMOD Conference,1999,Managing Web data,Dan Suciu,International Conference on Management of Data,1999
"O-O, What's Happening to DB2?","Richard Swagerman, Nelson Mendonça Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin",SIGMOD Conference,1999,"O-O, what's happening to DB2?","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data,1999
Implementing the Spirit of SQL-99,Paul Brown,SIGMOD Conference,1999,Implementing the spirit of SQL-99,Paul Brown,International Conference on Management of Data,1999
Indexing Medium-dimensionality Data in Oracle,"Jayant Sharma, Kothuri Venkata Ravi Kanth, Jay Banerjee, Siva Ravada",SIGMOD Conference,1999,Indexing medium-dimensionality data in Oracle,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",International Conference on Management of Data,1999
Merge Replication in Microsoft's SQL Server 7.0,Brad Hammond,SIGMOD Conference,1999,Merge replication in Microsoft's SQL server 7.0,Brad Hammond,International Conference on Management of Data,1999
In-Memory Data Management for Consumer Transactions The Times-Ten Approach,Times-Ten Team,SIGMOD Conference,1999,In-memory data management for consumer transactions the timesten approach,CORPORATE TimesTen Team,International Conference on Management of Data,1999
Versions and Workspaces in Microsoft Repository,"Shankar Pal, Thomas Bergstraesser, Philip A. Bernstein, David Shutt",SIGMOD Conference,1999,Versions and workspaces in Microsoft repository,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data,1999
The Need for Distributed Asynchronous Transactions,"Lyman Do, Prabhu Ram, Pamela Drew",SIGMOD Conference,1999,The need for distributed asynchronous transactions,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data,1999
Improving OLTP Data Quality Using Data Warehouse Mechanisms,"Matthias Jarke, Dirk Lehmann, Gunter Michalk, Guido Blees, Stefan Striel, Christoph Quix",SIGMOD Conference,1999,Improving OLTP data quality using data warehouse mechanisms,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data,1999
Nodose Version 2.0,"Brad Adelberg, Matthew Denny",SIGMOD Conference,1999,Nodose version 2.0,"Brad Adelberg, Matthew Denny",International Conference on Management of Data,1999
Phoenix: Making Applications Robust,"David B. Lomet, Roger S. Barga",SIGMOD Conference,1999,Phoenix: making applications robust,"Roger Barga, David B. Lomet",International Conference on Management of Data,1999
"PowerBookmarks: A System for Personalizable Web Information Organization, Sharing, and Management","Kazuyuki Shimazu, Sougata Mukherjea, Yi-Leh Wu, Divyakant Agrawal, Kyoji Hirata, Yukiyoshi Saito, Quoc Vu, Corey Bufi, Wen-Syan Li, Kevin Chen-Chuan Chang, Edward Y. Chang, Reiko Ito, Yoshinori Hara, Yutaka Kimura",SIGMOD Conference,1999,"PowerBookmarks: a system for personalizable Web information organization, sharing, and management","Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data,1999
SERF: ODMG-Based Generic Re-structuring Facility,"Stacia De Lima, Li Chen, Ming Li, S. Weiner, Chandrakant Natarajan, Elke A. Rundensteiner, Xin Zhang, Kajal T. Claypool, Jing Jin",SIGMOD Conference,1999,SERF: ODMG-based generic re-structuring facility,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",International Conference on Management of Data,1999
TAM: A System for Dynamic Transactional Activity Management,"Ling Liu, Calton Pu, Tong Zhou",SIGMOD Conference,1999,TAM: a system for dynamic transactional activity management,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data,1999
The Aqua Approximate Query Answering System,"Sridhar Ramaswamy, Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",SIGMOD Conference,1999,The Aqua approximate query answering system,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
The CCUBE Constraint Object-Oriented Database System,"Alexander Brodsky, Pavel A. Exarkhopoulo, Victor E. Segal, Jia Chen",SIGMOD Conference,1999,The CCUBE constraint object-oriented database system,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data,1999
The Cornell Jaguar System: Adding Mobility to PREDATOR,"Zhiyuan Chen, Daniel Mahashin, Victor Cheng, Kyle Buza, Tobias Mayr, Hubert Siu, Randolph Chung, Ivan Oprencak, Philippe Bonnet, Takako M. Hickey, Praveen Seshadri, Ryan Kennedy",SIGMOD Conference,1999,The Cornell Jaguar project: adding mobility to PREDATOR,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data,1999
The Active MultiSync Controller of the Cubetree Storage Organization,"Yannis Sismanis, Yannis Kotidis, Nick Roussopoulos",SIGMOD Conference,1999,The active MultiSync controller of the cubetree storage organization,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,1999
The Jungle Database Search Engine,"Linas Bukauskas, Curtis E. Dyreson, Michael H. Böhlen",SIGMOD Conference,1999,The Jungle database search engine,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data,1999
The WASA2 Object-Oriented Workflow Management System,"Mathias Weske, Gottfried Vossen",SIGMOD Conference,1999,The WASA2 object-oriented workflow management system,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data,1999
"World Wide Database - Integrating the Web, CORBA, and Databases","Kevin Smith, Athman Bouguettaya, Mourad Ouzzani, James Beard, Lily Hendra, Boualem Benatallah",SIGMOD Conference,1999,"World Wide Database-integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data,1999
XML-Based Information Mediation with MIX,"Yannis Papakonstantinou, Richard Marciano, Chaitanya K. Baru, Pavel Velikhov, Vincent Chu, Amarnath Gupta, Bertram Ludäscher",SIGMOD Conference,1999,XML-based information mediation with MIX,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data,1999
Exploratory Mining and Pruning Optimizations of Constrained Association Rules,"Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan",SIGMOD Conference,1998,Exploratory mining and pruning optimizations of constrained associations rules,"Raymond T. Ng, Laks V. S. Lakshmanan, Jiawei Han, Alex Pang",International Conference on Management of Data,1998
Changing the Rules: Transformations for Rule-Based Optimizers,"Mitch Cherniack, Stanley B. Zdonik",SIGMOD Conference,1998,Changing the rules: transformations for rule-based optimizers,"Mitch Cherniack, Stan Zdonik",International Conference on Management of Data,1998
CURE: An Efficient Clustering Algorithm for Large Databases,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",SIGMOD Conference,1998,CURE: an efficient clustering algorithm for large databases,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1998
Efficiently Mining Long Patterns from Databases,Roberto J. Bayardo Jr.,SIGMOD Conference,1998,Efficiently mining long patterns from databases,"Roberto J. Bayardo, Jr.",International Conference on Management of Data,1998
Automatic Subspace Clustering of High Dimensional Data for Data Mining Applications,"Johannes Gehrke, Rakesh Agrawal, Dimitrios Gunopulos, Prabhakar Raghavan",SIGMOD Conference,1998,Automatic subspace clustering of high dimensional data for data mining applications,"Rakesh Agrawal, Johannes Gehrke, Dimitrios Gunopulos, Prabhakar Raghavan",International Conference on Management of Data,1998
Efficient Mid-Query Re-Optimization of Sub-Optimal Query Execution Plans,"David J. DeWitt, Navin Kabra",SIGMOD Conference,1998,Efficient mid-query re-optimization of sub-optimal query execution plans,"Navin Kabra, David J. DeWitt",International Conference on Management of Data,1998
Cost Based Query Scrambling for Initial Delays,"Tolga Urhan, Michael J. Franklin, Laurent Amsaleg",SIGMOD Conference,1998,Cost-based query scrambling for initial delays,"Tolga Urhan, Michael J. Franklin, Laurent Amsaleg",International Conference on Management of Data,1998
Dimensionality Reduction for Similarity Searching in Dynamic Databases,"Ambuj K. Singh, Kothuri Venkata Ravi Kanth, Divyakant Agrawal",SIGMOD Conference,1998,Dimensionality reduction for similarity searching in dynamic databases,"K. V. Ravi Kanth, Divyakant Agrawal, Ambuj Singh",International Conference on Management of Data,1998
An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees,"Yannis Kotidis, Nick Roussopoulos",SIGMOD Conference,1998,An alternative storage organization for ROLAP aggregate views based on cubetrees,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data,1998
Caching Multidimensional Queries Using Chunks,"Karthikeyan Ramasamy, Prasad Deshpande, Amit Shukla, Jeffrey F. Naughton",SIGMOD Conference,1998,Caching multidimensional queries using chunks,"Prasad M. Deshpande, Karthikeyan Ramasamy, Amit Shukla, Jeffrey F. Naughton",International Conference on Management of Data,1998
Extracting Schema from Semistructured Data,"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov",SIGMOD Conference,1998,Extracting schema from semistructured data,"Svetlozar Nestorov, Serge Abiteboul, Rajeev Motwani",International Conference on Management of Data,1998
Enhanced Hypertext Categorization Using Hyperlinks,"Byron Dom, Piotr Indyk, Soumen Chakrabarti",SIGMOD Conference,1998,Enhanced hypertext categorization using hyperlinks,"Soumen Chakrabarti, Byron Dom, Piotr Indyk",International Conference on Management of Data,1998
Cost-Based Optimization of Decision Support Queries Using Transient Views,"Shivakumar Venkataraman, Subbu N. Subramanian",SIGMOD Conference,1998,Cost-based optimization of decision support queries using transient-views,"Subbu N. Subramanian, Shivakumar Venkataraman",International Conference on Management of Data,1998
Bitmap Index Design and Evaluation,"Yannis E. Ioannidis, Chee Yong Chan",SIGMOD Conference,1998,Bitmap index design and evaluation,"Chee-Yong Chan, Yannis E. Ioannidis",International Conference on Management of Data,1998
AutoAdmin 'What-if' Index Analysis Utility,"Surajit Chaudhuri, Vivek R. Narasayya",SIGMOD Conference,1998,AutoAdmin what-if index analysis utility,"Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,1998
A Multi-Similarity Algebra,"V. S. Subrahmanian, Sibel Adali, Maria Luisa Sapino, Piero A. Bonatti",SIGMOD Conference,1998,A multi-similarity algebra,"S. Adali, P. Bonatti, M. L. Sapino, V. S. Subrahmanian",International Conference on Management of Data,1998
Catching the Boat with Strudel: Experiences with a Web-Site Management System,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",SIGMOD Conference,1998,Catching the boat with Strudel: experiences with a Web-site management system,"Mary Fern&#225;ndez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",International Conference on Management of Data,1998
Approximate Medians and other Quantiles in One Pass and with Limited Memory,"Bruce G. Lindsay, Gurmeet Singh Manku, Sridhar Rajagopalan",SIGMOD Conference,1998,Approximate medians and other quantiles in one pass and with limited memory,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,1998
Efficient and Transparent Application Recovery in Client-Server Information Systems,"David B. Lomet, Gerhard Weikum",SIGMOD Conference,1998,Efficient transparent application recovery in client-server information systems,"David Lomet, Gerhard Weikum",International Conference on Management of Data,1998
Are We Working On the Right Problems? (Panel),Michael Stonebraker,SIGMOD Conference,1998,Are we working on the right problems? (panel),Michael Stonebraker,International Conference on Management of Data,1998
Electronic Commerce: Tutorial,"Nabil R. Adam, Yelena Yesha",SIGMOD Conference,1998,Electronic commerce: tutorial,"Nabil R. Adam, Yelena Yesha",International Conference on Management of Data,1998
"High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)","Daniel A. Keim, Stefan Berchtold",SIGMOD Conference,1998,High-dimensional index structures database support for next decade's applications (tutorial),"Stefan Berchtold, Daniel A. Keim",International Conference on Management of Data,1998
Enterprise Java Platform Data Access,"Seth J. White, R. G. G. Cattell, Sheldon J. Finkelstein",SIGMOD Conference,1998,Enterprise Java platform data access,"Seth White, Rick Cattell, Shel Finkelstein",International Conference on Management of Data,1998
Database Systems Management and Oracle8,C. Gregory Doherty,SIGMOD Conference,1998,Database systems management and Oracle8,C. Gregory Doherty,International Conference on Management of Data,1998
Data In Your Face: Push Technology in Perspective,"Michael J. Franklin, Stanley B. Zdonik",SIGMOD Conference,1998,Data in your face: push technology in perspective,"Michael Franklin, Stan Zdonik",International Conference on Management of Data,1998
"50,000 Users on an Oracle8 Universal Server Database","Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee",SIGMOD Conference,1998,"50,000 users on an Oracle8 universal server database","Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee",International Conference on Management of Data,1998
About Quark Digital Media System,Kamar Aulakh,SIGMOD Conference,1998,About Quark Digital Media System,Kamar Aulakh,International Conference on Management of Data,1998
FileNet Integrated Document Management Database Usage and Issues,Daniel S. Whelan,SIGMOD Conference,1998,FileNet integrated document management database usage and issues,Daniel S. Whelan,International Conference on Management of Data,1998
"Developing a High Traffic, Read-Only Web Site","Ray Suorsa, John Nauman",SIGMOD Conference,1998,"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",International Conference on Management of Data,1998
Delivering High Availability for Inktomi Search Engines,Eric A. Brewer,SIGMOD Conference,1998,Delivering high availability for Inktomi search engines,Eric A. Brewer,International Conference on Management of Data,1998
Free Parallel Data Mining,"Bin Li, Dennis Shasha",SIGMOD Conference,1998,Free parallel data mining,"Bin Li, Dennis Shasha",International Conference on Management of Data,1998
CQ: A Personalized Update Monitoring Toolkit,"David Buttler, Tong Zhou, Ling Liu, Paul Benninghoff, Wei Han, Calton Pu, Fenghua Yu, Wei Tang, John Biggs",SIGMOD Conference,1998,CQ: a personalized update monitoring toolkit,"Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu",International Conference on Management of Data,1998
DataSplash,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",SIGMOD Conference,1998,DataSplash,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",International Conference on Management of Data,1998
ARIADNE: A System for Constructing Mediators for Internet Sources,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, José Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",SIGMOD Conference,1998,Ariadne: a system for constructing mediators for Internet sources,"Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada",International Conference on Management of Data,1998
CONTROL: Continuous Output and Navigation Technology with Refinement On-Line,"Bruce Lo, Tali Roth, Ron Avnur, Joseph M. Hellerstein, Chris Olston, Kirk Wylie, Bhaskaran Raman, Vijayshankar Raman",SIGMOD Conference,1998,CONTROL: continuous output and navigation technology with refinement on-line,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",International Conference on Management of Data,1998
amdb: An Access Method Debugging Tool,"Joseph M. Hellerstein, Mehul A. Shah, Marcel Kornacker",SIGMOD Conference,1998,AMDB: an access method debugging tool,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",International Conference on Management of Data,1998
DTL's DataSpot: Database Exploration as Easy as Browsing the Web,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar",SIGMOD Conference,1998,DTL's DataSpot: database exploration as easy as browsing the Web...,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data,1998
A Protein Patent Query System Powered By Kleisli,"Jing Chen, Louxin Zhang, Limsoon Wong",SIGMOD Conference,1998,A protein patent query system powered by Kleisli,"Jing Chen, Limsoon Wong, Louxin Zhang",International Conference on Management of Data,1998
Capability Based Mediation in TSIMMIS,"Hector Garcia-Molina, Murty Valiveti, Chen Li, Ramana Yerneni, Jeffrey D. Ullman, Vasilis Vassalos, Yannis Papakonstantinou",SIGMOD Conference,1998,Capability based mediation in TSIMMIS,"Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti",International Conference on Management of Data,1998
Query Flocks: A Generalization of Association-Rule Mining,"Chris Clifton, Svetlozar Nestorov, Rajeev Motwani, Shalom Tsur, Jeffrey D. Ullman, Arnon Rosenthal, Serge Abiteboul",SIGMOD Conference,1998,Query flocks: a generalization of association-rule mining,"Dick Tsur, Jeffrey D. Ullman, Serge Abiteboul, Chris Clifton, Rajeev Motwani, Svetlozar Nestorov, Arnon Rosenthal",International Conference on Management of Data,1998
Parallel Mining Algorithms for Generalized Association Rules with Classification Hierarchy,"Masaru Kitsuregawa, Takahiko Shintani",SIGMOD Conference,1998,Parallel mining algorithms for generalized association rules with classification hierarchy,"Takahiko Shintani, Masaru Kitsuregawa",International Conference on Management of Data,1998
Reusing Invariants: A New Strategy for Correlated Queries,"Jun Rao, Kenneth A. Ross",SIGMOD Conference,1998,Reusing invariants: a new strategy for correlated queries,"Jun Rao, Kenneth A. Ross",International Conference on Management of Data,1998
Query Unnesting in Object-Oriented Databases,Leonidas Fegaras,SIGMOD Conference,1998,Query unnesting in object-oriented databases,Leonidas Fegaras,International Conference on Management of Data,1998
Interaction of Query Evaluation and Buffer Management for Information Retrieval,"Björn Þór Jónsson, Divesh Srivastava, Michael J. Franklin",SIGMOD Conference,1998,Interaction of query evaluation and buffer management for information retrieval,"Bj&#246;rn T. J&#243;nsson, Michael J. Franklin, Divesh Srivastava",International Conference on Management of Data,1998
